Evento;Inicio;Fin;Días;Día;Ubicación
Tri Parayas;29/08/2026;29/08/2026;1;Sábado;—
24h - 100Km Santander;05/09/2026;06/09/2026;2;Sábado;—
Bajo Pas;12/09/2026;12/09/2026;1;Sábado;—
Peña Prieta;03/10/2026;03/10/2026;1;Sábado;—
Maraton de Logroño;04/10/2026;04/10/2026;1;Domingo;—
Entre Viñedos;25/10/2026;25/10/2026;1;Domingo;—
Trail Loiu;01/11/2026;01/11/2026;1;Domingo;—
Carrera de GUARDIA CIVIL;15/11/2026;15/11/2026;1;Domingo;—
Militares Rioja;28/11/2026;28/11/2026;1;Sábado;—
Militares Logroño;29/11/2026;29/11/2026;1;Domingo;—
San Felices;13/12/2026;13/12/2026;1;Domingo;—
La Garita;31/12/2026;31/12/2026;1;Jueves;—
